2016_Accenture_ATL,Accenture Atlanta
2016_ATT_ATL_1,AT&T Atlanta: Ada Lovelace
2016_ATT_ATL_2,AT&T Atlanta: Grace Hopper
2016_GE_ATL,GE Atlanta
2016_ATT_AUS,AT&T Austin
2016_BarloventoACC_AUS_1,Barlovento Foundation @ Austin Community College
2016_BarloventoRR_AUS_2,The Barlovento Foundation @ Texas State University at Round Rock
2016_IBM_AUS,IBM Austin
2016_Indeed_AUS,Indeed Austin
2016_Akamai_BOS,Akamai Boston
2016_MSFT_BOS,Microsoft Boston
2016_TripAdvisor_BOS,TripAdvisor Boston
2016_Twitter_BOS,Twitter Boston
2016_Verizon_BOS,Verizon Boston
2016_Accenture_CHI,Accenture Chicago
2016_Lucas_CHI_1,Girls Who Code @  the University of Illinois at Chicago: Ada Lovelace
2016_Lucas_CHI_2,Girls Who Code @ University of Illinois at Chicago: Grace Hopper
2016_MSFT_CHI,Microsoft Chicago
2016_Synchrony_CHI,Synchrony Financial Chicago
2016_Verizon_CHI,Verizon Chicago
2016_ATT_LOS,AT&T Los Angeles
2016_Disney_LOS,Disney Los Angeles
2016_IBM_LOS,IBM Los Angeles
2016_SabanUSC_LOS_1,Cheryl Saban Self-Worth Foundation for Women & Girls at USC Marshall School of Business: Ada Lovelace
2016_SabanUSC_LOS_2,Cheryl Saban Self-Worth Foundation for Women & Girls at USC Marshall School of Business: Grace Hopper
2016_Knight_MDC_MIA_1,Knight Foundation at MDC Miami: Ada Lovelace
2016_Knight_FIU_MIA_2,Knight Foundation Miami @ FIU
2016_Knight_MDC_MIA_3, Knight Foundation Miami: Grace Hopper
2016_Verizon_NWK_1,Verizon Newark: Ada Lovelace
2016_Verizon_NWK_2,Verizon Newark: Grace Hopper
2016_Accenture_NYC,Accenture New York City
2016_Adobe_NYC,Adobe New York City
2016_AIG_NYC_1,AIG New York City: Ada Lovelace
2016_AIG_NYC_2,AIG New York City: Grace Hopper
2016_AOL/CUNY_NYC,The AOL Charitable Foundation at the CUNY Advanced Science Research Center
2016_AppNexus_NYC,AppNexus New York City
2016_ATT_NYC,AT&T New York City
2016_Blackrock_NYC,BlackRock New York City
2016_Goldman_NYC_1,Goldman Sachs New York City: Ada Lovelace
2016_Goldman_NYC_2,Goldman Sachs New York City: Grace Hopper
2016_IAC_NYC,IAC New York City
2016_IBM_NYC,IBM New York City
2016_JPMorgan_NYC,JPMorgan Chase New York City
2016_KateSpade_NYC,Kate Spade & Company @ the Fashion Institute of Technology
2016_Moodys_NYC,Moody\'s New York City
2016_MSFT_NYC,Microsoft New York City
2016_Viacom_NYC,Viacom New York City
2016_Adobe_SEA,Adobe Seattle
2016_Amazon_SEA,Amazon Seattle
2016_ATT_SEA,AT&T Seattle
2016_Expedia_SEA,Expedia Seattle
2016_Groupon_SEA,Groupon Seattle
2016_MSFT_SEA,Microsoft Seattle
2016_Adobe_BAY_1,Adobe San Jose: Ada Lovelace
2016_Adobe_BAY_2,Adobe San Jose: Grace Hopper
2016_Adobe_BAY,Adobe San Francisco
2016_Amazon_BAY,Amazon Bay Area
2016_Autodesk_BAY,Autodesk San Francisco
2016_ElectronicArts_BAY,Electronic Arts Bay Area
2016_Facebook_BAY,Facebook Bay Area
2016_GE_BAY,GE Bay Area
2016_IBM_BAY,IBM San Jose
2016_Intuit_BAY,Intuit Bay Area
2016_Moodys_BAY,Moody\'s San Francisco
2016_MSFT_BAY,Microsoft Bay Area
2016_Pivotal_BAY,Pivotal Bay Area
2016_Pixar_BAY,Pixar Bay Area
2016_Prudential_NWK,Prudential Newark
2016_Sephora_BAY,Sephora San Francisco
2016_Square_BAY,Square San Francisco
2016_Twitter_BAY,Twitter San Francisco
2016_Workday_BAY,Workday Bay Area
2016_AOL_WAS,AOL Washington DC
2016_ATT_WAS,AT&T Washington DC
2016_BSA_WAS,BSA Washington DC
2016_CapitalOne_WAS,Capital One Washington DC
2016_Lockheed_WAS_1,Lockheed Martin Washington DC: Ada Lovelace
2016_Lockheed_WAS_2,Lockheed Martin Washington DC: Grace Hopper
