Event: Event Name,SIP Program: SIP Program Name,Location,Date and Time,Confirmed,Event Type,SIP Program: Market
2016 Field Trip - ATL - Atlanta Tech Village,2016_Accenture_ATL,Atlanta Tech Village,7/8/16 10:45,1,Field Trip,ATL
2016 Field Trip - ATL - Georgia Power,2016_GE_ATL,Southern Company/Georgia Power,7/8/16 9:15,1,Field Trip,ATL
2016 Field Trip - ATL - Georgia Power,2016_ATT_ATL_2,Southern Company/Georgia Power,7/8/16 9:15,1,Field Trip,ATL
2016 Field Trip - ATL - Georgia Power,2016_ATT_ATL_1,Southern Company/Georgia Power,7/8/16 9:15,1,Field Trip,ATL
2016 Field Trip - AUS - General Motors,2016_IBM_AUS,General Motors Foundation,7/22/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - Capital Factory,2016_Indeed_AUS,Capital Factory,7/1/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - Capital Factory,2016_BarloventoACC_AUS_1,Capital Factory,7/15/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - Capital Factory,2016_BarloventoRR_AUS_2,Capital Factory,7/15/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - Capital Factory,2016_IBM_AUS,Capital Factory,7/29/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - Capital Factory,2016_ATT_AUS,Capital Factory,7/29/16 9:30,1,Field Trip,AUS
2016 Field Trip - AUS - UT Austin,2016_ATT_AUS,University of Texas at Austin,7/15/16 10:00,1,Field Trip,AUS
2016 Field Trip - AUS - UT Austin,2016_Indeed_AUS,University of Texas at Austin,7/15/16 10:00,1,Field Trip,AUS
2016 Field Trip - AUS - Dell,2016_BarloventoACC_AUS_1,Dell,7/22/16 10:00,1,Field Trip,AUS
2016 Field Trip - AUS - Dell,2016_BarloventoRR_AUS_2,Dell,7/22/16 10:00,1,Field Trip,AUS
2016 Field Trip - Bay Area - Pinterest,2016_Moodys_BAY,Pinterest,6/24/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Pinterest,2016_Adobe_BAY,Pinterest,6/24/16 10:00,1,Field Trip,BAY
2016 Field Trip - BAY - EA,2016_Facebook_BAY,EA,7/22/16 9:30,1,Field Trip,BAY
2016 Field Trip - BAY - EA,2016_Intuit_BAY,EA,7/22/16 9:30,1,Field Trip,BAY
2016 Field Trip - BAY - EA,2016_Pivotal_BAY,EA,7/22/16 9:30,1,Field Trip,BAY
2016 Field Trip - BAY - EA,2016_MSFT_BAY,EA,7/22/16 9:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Dolby,2016_Pixar_BAY,Dolby,7/14/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Dolby,2016_Square_BAY,Dolby,7/14/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Dolby,2016_Twitter_BAY,Dolby,7/14/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Lifelock/Stanford,2016_Amazon_BAY,LifeLock,7/8/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Lifelock/Stanford,2016_IBM_BAY,LifeLock,7/8/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Lifelock/Stanford,2016_MSFT_BAY,LifeLock,7/8/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Lifelock/Stanford,2016_Square_BAY,LifeLock,7/8/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Lifelock/Stanford,2016_Pivotal_BAY,LifeLock,7/8/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Yahoo!,2016_Adobe_BAY_2,Yahoo!,7/15/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Yahoo!,2016_Adobe_BAY_1,Yahoo!,7/15/16 10:00,1,Field Trip,BAY
2016 Field Trip - Bay Area - Airbnb,2016_Sephora_BAY,Airbnb,7/22/16 10:00,1,Field Trip,BAY
2016 Field Trip - BAY - Autodesk,2016_Pivotal_BAY,Autodesk,7/15/16 10:30,1,Field Trip,BAY
2016 Field Trip - Bay Area - Radius,2016_Workday_BAY,Radius,7/15/16 13:00,1,Field Trip,BAY
2016 Field Trip - BAY - Blippar,2016_GE_BAY,Blippar,7/15/16 9:00,1,Field Trip,BAY
2016 Field Trip - BAY - Pivotal Cloud Foundry,2016_Autodesk_BAY,Pivotal,7/1/16 10:30,1,Field Trip,BAY
2016 Field Trip - BAY - Pivotal Cloud Foundry,2016_Pivotal_BAY,Pivotal,7/1/16 10:30,1,Field Trip,BAY
2016 Field Trip - BAY - Ford,2016_Autodesk_BAY,Ford Motor Company,7/29/16 11:00,1,Field Trip,BAY
2016 Field Trip - BAY - Ford,2016_ElectronicArts_BAY,Ford Motor Company,7/29/16 11:00,1,Field Trip,BAY
2016 Field Trip - BOS - Fathom,2016_Akamai_BOS,Fathom,7/22/16 13:30,1,Field Trip,BOS
2016 Field Trip - Boston - Amazon Robotics,2016_TripAdvisor_BOS,Amazon Robotics,7/15/16 13:00,1,Field Trip,BOS
2016 Field Trip - CHI - Adler Planetarium,2016_MSFT_CHI,Adler Planetarium,8/1/16 10:30,1,Field Trip,CHI
2016 Field Trip - CHI - Adler Planetarium,2016_Synchrony_CHI,Adler Planetarium,8/1/16 10:30,1,Field Trip,CHI
2016 Field Trip - CHI - Microsoft,2016_Verizon_CHI,Microsoft,7/8/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - DePaul University Tour,2016_Verizon_CHI,DePaul University,7/29/16 9:04,1,Field Trip,CHI
2016 Field Trip - CHI - 1871,2016_Lucas_CHI_1,1871,7/22/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Blue1647,2016_Lucas_CHI_2,Blue1647,7/8/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Groupon,2016_MSFT_CHI,Groupon,7/15/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Groupon,2016_Accenture_CHI,Groupon,7/15/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Groupon,2016_Verizon_CHI,Groupon,7/15/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Groupon,2016_Synchrony_CHI,Groupon,7/15/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - 1871,2016_Accenture_CHI,1871,7/22/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Accenture,2016_Lucas_CHI_1,Accenture,7/29/16 10:00,1,Field Trip,CHI
2016 Field Trip - CHI - Accenture,2016_Lucas_CHI_2,Accenture,7/29/16 10:00,1,Field Trip,CHI
2016 Field Trip - LOS - General Assembly,2016_SabanUSC_LOS_2,General Assembly,7/22/16 9:00,1,Field Trip,LOS
2016 Field Trip - LOS - General Assembly,2016_SabanUSC_LOS_1,General Assembly,7/22/16 9:00,1,Field Trip,LOS
2016 Field Trip - LOS - Team One,2016_IBM_LOS,Team One,7/8/16 10:00,1,Field Trip,LOS
2016 Field Trip - LOS - SpaceX,2016_Disney_LOS,SpaceX,6/24/16 10:00,1,Field Trip,LOS
2016 Field Trip - LOS - Sony Pictures,2016_SabanUSC_LOS_2,Sony,7/15/16 10:00,1,Field Trip,LOS
2016 Field Trip - LOS - Sony Pictures,2016_SabanUSC_LOS_1,Sony,7/15/16 10:00,1,Field Trip,LOS
2016 Field Trip - LOS - Gibson Dunn,2016_ATT_LOS,Gibson Dunn,7/22/16 14:16,0,Field Trip,LOS
2016 Field Trip - MIA - Studio Center,2016_Knight_MDC_MIA_1,Studio Center,7/8/16 10:30,1,Field Trip,MIA
2016 Field Trip - MIA - Studio Center,2016_Knight_MDC_MIA_3,Studio Center,7/8/16 10:30,1,Field Trip,MIA
2016 Field Trip - NWK - Audible,2016_Prudential_NWK,Audible,8/12/16 10:00,0,Field Trip,NWK
2016 Field Trip - NWK - NBCUniversal,2016_Verizon_NWK_1,NBC Universal,7/29/16 10:00,1,Field Trip,NWK
2016 Field Trip - NWK - NBCUniversal,2016_Verizon_NWK_2,NBC Universal,7/29/16 10:00,1,Field Trip,NWK
2016 Field Trip - NYC - New York Times,2016_KateSpade_NYC,The New York Times,7/28/16 15:15,1,Field Trip,NYC
2016 Field Trip - NYC - New York Times,2016_MSFT_NYC,The New York Times,7/28/16 15:13,1,Field Trip,NYC
2016 Field Trip - NYC - New York Times,2016_Accenture_NYC,The New York Times,7/28/16 15:14,1,Field Trip,NYC
2016 Field Trip - NYC - New York Times,2016_Adobe_NYC,The New York Times,7/28/16 15:10,1,Field Trip,NYC
2016 Field Trip - NYC - Fueled Collective,2016_Moodys_NYC,Fueled Collective,7/22/16 11:00,1,Field Trip,NYC
2016 Field Trip - NYC - Squarespace,2016_Blackrock_NYC,Squarespace,8/12/16 9:39,1,Field Trip,NYC
2016 Field Trip - NYC - Squarespace,2016_Adobe_NYC,Squarespace,8/12/16 9:39,1,Field Trip,NYC
2016 Field Trip - NYC - Squarespace,2016_IAC_NYC,Squarespace,8/12/16 9:39,1,Field Trip,NYC
2016 Field Trip - NYC - Refinery 29,2016_Goldman_NYC_2,Refinery29,7/15/16 13:50,1,Field Trip,NYC
2016 Field Trip - NYC - Refinery 29,2016_Goldman_NYC_1,Refinery29,7/15/16 10:00,1,Field Trip,NYC
2016 Field Trip - NYC - News Corp,2016_IBM_NYC,News Corp,7/22/16 13:04,1,Field Trip,NYC
2016 Field Trip - NYC - News Corp,2016_Viacom_NYC,News Corp,7/22/16 13:04,1,Field Trip,NYC
2016 Field Trip - NYC - LinkedIn,2016_AIG_NYC_2,LinkedIn,7/22/16 6:55,1,Field Trip,NYC
2016 Field Trip - NYC - LinkedIn,2016_AIG_NYC_1,LinkedIn,7/22/16 6:55,1,Field Trip,NYC
2016 Field Trip - NYC - TechStars,2016_AIG_NYC_1,TechStars,8/5/16 10:42,1,Field Trip,NYC
2016 Field Trip - NYC - DataKind,2016_AOL/CUNY_NYC,DataKind,7/29/16 11:16,1,Field Trip,NYC
2016 Field Trip - NYC - Chanel,2016_ATT_NYC,Chanel,7/21/16 13:00,1,Field Trip,NYC
2016 Field Trip - NYC - Blippar,2016_Accenture_NYC,Blippar,7/8/16 10:47,1,Field Trip,NYC
2016 Field Trip - NYC - TechStars,2016_AIG_NYC_2,TechStars,8/5/16 13:30,1,Field Trip,NYC
